ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
MF,GO:0042802,identical protein binding,146/762,352/1862,0.414772727,1.013526008,0.234480554,0.429939956,0.943152197,0.890966987,P12270/P06733/P55072/P07900/P17812/Q99966/Q9BVL2/P21333/P60891/Q13148/O75369/Q99459/P19338/P63244/P04818/Q9Y230/P30566/Q9HB71/Q01844/P27348/P23246/Q9Y371/P27708/Q15717/O43707/P63167/P35221/P63104/O94906/Q99832/P22626/Q8TCS8/P35637/P33176/Q13546/O14641/O60502/P22033/Q6ICB0/Q96M27/Q15637/Q7Z434/P43243/P22234/Q06830/P02545/P08670/P11717/Q04917/Q9H4M9/Q13153/P14618/P31939/P29401/P04040/P22415/P19022/Q03252/P29966/P51665/Q16204/Q9NPI6/P35579/P61978/Q9BSJ8/P06748/P12004/P31153/O14818/P31943/Q8N668/P04406/P60174/O43809/P30626/Q9BRG1/P30101/Q5VTR2/P17980/P08133/Q4V328/Q7Z3B4/Q9Y448/Q9Y5X1/Q9H0D6/P07196/P13674/P63261/Q9P0K8/Q9UHY1/O76003/Q13630/Q96CX2/O94992/Q8WUM4/Q13123/Q09666/P46379/Q9P0L0/Q9BRK5/P46976/P62258/P60953/P09874/P60604/Q96F86/Q15102/O14908/P49959/Q15233/O15234/P61289/O43765/Q9BTV4/P02786/P46109/Q9Y6X8/Q00839/P26639/O60271/P07814/P08047/Q8TCG1/Q14790/P06737/P06280/Q15149/P08195/Q9NR30/P04181/O75643/Q8TBA6/P68402/O14744/P49790/Q12904/Q96AT9/Q16740/P11413/Q99584/P23381/Q13561/Q06787/P43246/Q14151/Q13177,146
MF,GO:0046872,metal ion binding,157/762,379/1862,0.414248021,1.012243852,0.222239594,0.434160353,0.943152197,0.890966987,P28331/P06733/Q96DT7/Q13813/Q86WB0/P62273/O75312/P60891/Q86UA6/Q8WXI9/Q9Y6Y8/P48506/Q9Y3I0/P05023/P62826/P37268/P27797/Q01844/P27708/P20674/P80303/O43707/O75152/Q96AY3/Q9UBT2/P61604/P35637/O43306/P27694/Q92785/P22033/P14625/O60841/Q9UBC2/Q9BQ52/Q9UGR2/Q15637/Q9BYT8/P43243/P26358/O00469/P21964/O60884/Q9H4M9/O00151/P14618/P27824/P29401/P04040/P19022/P08648/P13797/Q8WVD3/O75695/P46940/P60660/Q04760/Q7Z3K3/Q01970/Q9BSJ8/Q14974/Q14126/P31153/P11021/Q8N668/P51003/P30626/O95071/P62877/O95486/Q5VTR2/O75251/Q92905/P08133/O43670/O43847/Q8TD19/P13995/Q9H0D6/Q7RTP6/P13674/P10109/O76003/P30519/Q10713/Q9BWF3/Q15181/Q9UHB6/Q13263/Q9H2U2/P50213/Q8N543/Q9BRK5/P34949/P30520/Q7Z3T8/P49792/P46976/Q12874/P49441/P12268/P60510/P09874/Q96I99/P49959/O75844/Q99798/O14545/Q9ULT8/Q9Y5L4/Q9Y6X8/Q9NW64/Q9BTC0/Q9H2U1/Q7Z6E9/P23193/P28838/O00244/P26639/Q16595/Q9H0V9/Q6PJT7/P14314/P25490/P07814/P08047/P22695/Q9UL40/Q3MIT2/Q15293/Q96BT7/P36871/Q14257/Q96KR1/Q08209/P49790/P04632/Q8WVY7/Q9Y467/P51812/Q96AT9/Q9NR56/P49711/Q9BU89/Q99584/O95394/Q9P2R7/P09960/Q7Z2T5/Q8NF37/P43246/P07437/Q9UGI8/O14773/Q96K19/P53396/Q9UHD1,157
MF,GO:0004386,helicase activity,19/762,44/1862,0.431818182,1.055177762,0.308210769,0.435777227,0.943152197,0.890966987,Q9NVP1/O00571/P60842/Q9Y230/P17844/P13010/P33993/Q14240/P33991/P42285/P49959/P12956/Q9UMR2/P25205/Q9H2U1/Q9NR30/O75643/Q92499/P38919,19
MF,GO:0005048,signal sequence binding,9/762,20/1862,0.45,1.099606299,0.372658747,0.437598766,0.943152197,0.890966987,P35658/Q9BVL2/P52292/P63010/Q14974/P52948/P50542/O00410/P49790,9
MF,GO:0000166,nucleotide binding,145/762,350/1862,0.414285714,1.012335958,0.213100927,0.438394302,0.943152197,0.890966987,P55072/P07900/P25098/O43716/P17812/Q9NVP1/P00558/P60891/Q04637/P10809/O00571/P60842/P34932/P48506/Q9Y3I0/P11142/Q9Y230/P05023/P62826/P17844/P49459/P27708/P62191/P68133/P63279/P13010/P33993/P50990/Q99832/Q9UBT2/P61604/Q7Z2Z2/P33176/Q13546/P49368/Q9BQA1/O43306/P43686/P14625/P22314/Q14240/P38646/O60841/Q15029/O43776/P26358/P22234/P13639/P33991/O60884/Q9H4M9/Q13153/P14618/P04040/Q02790/P40939/P17987/P78527/P78371/O75695/Q9Y6G9/P30837/P25705/P35579/P31153/Q9Y277/P11021/P04406/P51003/Q16763/P42285/Q12931/P61086/P17980/Q9UQE7/P08133/P61158/Q15907/Q8TD19/Q9NTJ3/Q9BVP2/Q7RTP6/Q99986/P63261/Q14166/Q9UHY1/O43175/P06576/P84090/P13804/P50213/P30520/Q9Y4L1/P12268/P60953/P48643/P09874/P60604/P51149/P46013/Q96I99/Q9C0C9/P12956/Q9UMR2/P25205/P50570/Q00839/Q9H2U1/P16435/Q9HCN4/P26639/P07814/Q6P3W7/Q16513/P06737/P62195/P56192/Q9NR30/Q96HE7/A0AVT1/O75643/O15381/O14744/Q8NBU5/P51812/O95831/P11413/P11586/Q92499/P23381/P54577/Q9P2R7/P43246/P07437/Q14204/P38919/P49915/P35580/P61019/P53396/O00116/P68036/Q9UHD1/Q9NR31/Q13177,145
MF,GO:0008233,peptidase activity,26/762,61/1862,0.426229508,1.041521449,0.274368907,0.4406751,0.943152197,0.890966987,P09936/P07339/Q4J6C6/Q6ICB0/Q9BYT8/Q9Y5K5/P52948/P30101/Q92905/Q93009/O43847/P60900/P15374/Q10713/Q96G74/O75844/P28838/Q14790/P22695/P04632/Q14694/Q16740/Q01804/P09960/O14773/Q12765,26
BP,GO:0019058,viral life cycle,26/742,69/1817,0.376811594,0.922731357,-0.543516535,0.746699406,0.946278049,0.847057917,P55072/P25098/O00571/P11142/P17844/P11940/Q9UK61/Q7Z434/P35232/P08648/P52292/Q16531/P07237/Q8WUM4/Q9P0L0/P62937/Q13263/Q15366/P51149/P02786/Q99549/Q16513/Q12906/P08195/P49790/Q06787,26
CC,GO:0000323,lytic vacuole,39/762,100/1854,0.39,0.948897638,-0.438763061,0.705103144,0.947232903,0.815034816,P55072/P07900/P07339/P11142/P27797/P49459/Q9Y5Z4/P50990/P10253/P33176/P22314/Q8NBS9/Q96QK1/P78371/P63010/Q9UQ80/O75674/Q6IAA8/P08133/Q10567/O43747/Q15904/Q09666/Q9P0L0/P46976/P51149/Q00610/O60271/P06280/P08195/P04440/Q8NF37/P07437/Q14204/O14773/Q99460/P61019/P53396/Q9NR31,39
CC,GO:0005764,lysosome,39/762,100/1854,0.39,0.948897638,-0.438763061,0.705103144,0.947232903,0.815034816,P55072/P07900/P07339/P11142/P27797/P49459/Q9Y5Z4/P50990/P10253/P33176/P22314/Q8NBS9/Q96QK1/P78371/P63010/Q9UQ80/O75674/Q6IAA8/P08133/Q10567/O43747/Q15904/Q09666/Q9P0L0/P46976/P51149/Q00610/O60271/P06280/P08195/P04440/Q8NF37/P07437/Q14204/O14773/Q99460/P61019/P53396/Q9NR31,39
MF,GO:0002039,p53 binding,6/762,13/1862,0.461538462,1.127801333,0.384762672,0.452880682,0.950834037,0.898223786,P10809/Q5VTR2/Q93009/P61289/O14744/Q14694,6
MF,GO:0035925,mRNA 3'-UTR AU-rich region binding,6/762,13/1862,0.461538462,1.127801333,0.384762672,0.452880682,0.950834037,0.898223786,Q14103/Q15717/Q92945/O43809/Q9H2U1/Q12906,6
MF,GO:0017076,purine nucleotide binding,134/762,324/1862,0.413580247,1.010612099,0.174883959,0.454153462,0.950834037,0.898223786,P55072/P07900/P25098/O43716/P17812/Q9NVP1/P00558/P60891/Q04637/P10809/O00571/P60842/P34932/P48506/Q9Y3I0/P11142/Q9Y230/P05023/P62826/P17844/P49459/P27708/P62191/P68133/P63279/P13010/P33993/P50990/Q99832/Q9UBT2/P61604/Q7Z2Z2/P33176/Q13546/P49368/O43306/P43686/P14625/P22314/Q14240/P38646/O60841/Q15029/O43776/P22234/P13639/P33991/O60884/Q9H4M9/Q13153/P14618/P04040/Q02790/P40939/P17987/P78527/P78371/O75695/Q9Y6G9/P30837/P25705/P35579/P31153/P11021/P04406/P51003/Q16763/P42285/Q12931/P61086/P17980/Q9UQE7/P08133/P61158/Q15907/Q8TD19/Q9NTJ3/Q9BVP2/Q99986/P63261/Q14166/Q9UHY1/O43175/P06576/P50213/P30520/Q9Y4L1/P60953/P48643/P09874/P60604/P51149/P46013/Q96I99/Q9C0C9/P12956/Q9UMR2/P25205/P50570/Q00839/Q9H2U1/P16435/Q9HCN4/P26639/P07814/Q6P3W7/Q16513/P06737/P62195/P56192/Q9NR30/A0AVT1/O75643/O15381/Q8NBU5/P51812/P11413/P11586/Q92499/P23381/P54577/Q9P2R7/P43246/P07437/Q14204/P38919/P49915/P35580/P61019/P53396/P68036/Q9UHD1/Q9NR31/Q13177,134
MF,GO:1901265,nucleoside phosphate binding,147/762,356/1862,0.412921348,1.009002035,0.15714752,0.460383478,0.950834037,0.898223786,P55072/P07900/P25098/O43716/P17812/Q9NVP1/P00558/P60891/Q04637/P10809/O00571/P60842/P34932/P48506/Q9Y3I0/P11142/Q9Y230/P05023/P62826/P17844/P49459/P27708/P62191/P68133/P63279/P13010/P33993/P50990/Q99832/Q9UBT2/P61604/Q7Z2Z2/P33176/Q13546/P49368/Q9BQA1/O43306/P43686/P14625/P22314/Q14240/P38646/O60841/Q15029/O43776/P26358/P22234/P13639/P33991/O60884/Q9H4M9/Q13153/P14618/P04040/Q02790/P40939/P17987/P78527/P78371/O75695/Q9Y6G9/P30837/P25705/P35579/P31153/Q9Y277/P22307/P11021/P04406/P51003/Q16763/P42285/Q12931/P61086/P17980/Q9UQE7/P08133/P61158/Q15907/Q8TD19/Q9NTJ3/Q9BVP2/Q7RTP6/P60900/Q99986/P63261/Q14166/Q9UHY1/O43175/P06576/P84090/P13804/P50213/P30520/Q9Y4L1/P12268/P60953/P48643/P09874/P60604/P51149/P46013/Q96I99/Q9C0C9/P12956/Q9UMR2/P25205/P50570/Q00839/Q9H2U1/P16435/Q9HCN4/P26639/P07814/Q6P3W7/Q16513/P06737/P62195/P56192/Q9NR30/Q96HE7/A0AVT1/O75643/O15381/O14744/Q8NBU5/P51812/O95831/P11413/P11586/Q92499/P23381/P54577/Q9P2R7/P43246/P07437/Q14204/P38919/P49915/P35580/P61019/P53396/O00116/P68036/Q9UHD1/Q9NR31/Q13177,147
MF,GO:1901363,heterocyclic compound binding,156/762,378/1862,0.412698413,1.008457276,0.153254696,0.461448917,0.950834037,0.898223786,P55072/P07900/P25098/O43716/P17812/Q9NVP1/P00558/P60891/Q04637/P10809/O00571/P60842/P34932/P48506/Q9Y3I0/P11142/P04818/Q9Y230/P05023/P62826/P17844/P49459/P27708/P62191/O43707/P68133/P63279/P13010/P33993/P50990/Q99832/Q9UBT2/P61604/Q7Z2Z2/P33176/Q13546/P49368/Q9BQA1/O43306/P43686/P22033/P14625/P22314/Q14240/P38646/O60841/Q15029/O43776/P26358/O00469/P22234/P13639/P33991/O60884/Q9H4M9/Q13153/P14618/P29401/P04040/Q02790/P40939/P17987/P78527/P78371/O75695/Q9Y6G9/P30837/P25705/P35579/P31153/Q9Y277/P22307/P00505/P11021/P04406/P51003/Q16763/P42285/Q12931/P61086/P17980/Q9UQE7/P08133/P61158/Q15907/Q8TD19/Q9NTJ3/Q9BVP2/Q7RTP6/P60900/Q99986/P13674/P63261/Q14166/Q9UHY1/O43175/P06576/P84090/P13804/P50213/Q8N543/P30520/Q9Y4L1/P12268/P60953/P48643/P09874/P60604/P51149/P46013/Q96I99/Q9C0C9/P12956/Q9UMR2/P25205/P50570/Q00839/Q9H2U1/P16435/Q9HCN4/P26639/P07814/Q6P3W7/Q16513/P06737/P62195/P56192/Q9NR30/Q96HE7/A0AVT1/P04181/O75643/O15381/O14744/Q8NBU5/P51812/O95831/P11413/P11586/Q92499/P23381/P54577/Q9P2R7/P43246/P07437/Q14204/P38919/P49915/P35580/P61019/P53396/O00116/P68036/Q9UHD1/Q9NR31/Q13177,156
MF,GO:0005126,cytokine receptor binding,8/762,18/1862,0.444444444,1.086030913,0.305186033,0.468644696,0.950834037,0.898223786,Q13546/P55957/O43776/P08648/Q12931/Q96AC1/Q14790/P54577,8
MF,GO:0008237,metallopeptidase activity,8/762,18/1862,0.444444444,1.086030913,0.305186033,0.468644696,0.950834037,0.898223786,Q9BYT8/Q92905/O43847/Q10713/O75844/P28838/P22695/P09960,8
MF,GO:0019209,kinase activator activity,8/762,18/1862,0.444444444,1.086030913,0.305186033,0.468644696,0.950834037,0.898223786,O00571/O60934/P46940/O75674/Q8TD19/Q92616/P05386/Q13177,8
MF,GO:0106310,protein serine kinase activity,8/762,18/1862,0.444444444,1.086030913,0.305186033,0.468644696,0.950834037,0.898223786,Q13546/Q13153/P78527/Q8TD19/Q99986/Q16513/P51812/Q13177,8
BP,GO:0007017,microtubule-based process,55/742,143/1817,0.384615385,0.941841178,-0.601812963,0.754278981,0.953820635,0.85380964,P12270/P55072/O75312/P21333/P09936/P11142/P62826/Q96EA4/P63167/P33176/Q14203/Q9Y490/P37198/P02545/Q13153/Q02790/Q9Y6G9/Q99996/P43487/P35579/P06748/Q14974/Q9Y678/Q9Y277/Q96N67/P04406/Q16531/P82094/Q9UQE7/O43670/P61158/Q8TD16/Q9Y448/P07196/Q9P287/P16949/P27816/Q8WUM4/Q07866/P78318/P60953/Q86UP2/Q8IWC1/P50570/O95817/Q00839/Q00610/P46821/Q9UNZ2/Q13561/P42704/P07437/Q14204/P18583/Q9UHD1,55
BP,GO:0007049,cell cycle,112/742,286/1817,0.391608392,0.958965563,-0.627913103,0.755565203,0.953820635,0.85380964,P12270/P55072/Q14676/Q01082/P35658/O75312/P21333/Q04637/Q13148/O00571/Q99459/P63244/O94874/P11142/Q9Y230/P62826/P27797/P49459/Q9Y371/Q8N163/Q96EA4/P63279/O43768/Q8TCS8/O60934/P27694/Q14203/P55957/Q92785/Q9UNM6/P37198/P33991/P02545/Q6Y7W6/P78527/O75400/P46940/Q9Y6G9/P43487/O75674/Q9NR09/Q9Y5K5/P35579/Q7Z3K3/P06748/Q14974/Q13620/P12004/Q7Z5K2/Q7KZF4/Q16531/Q16763/Q9H900/Q9BPX3/Q9UQE7/Q92905/O43670/P61158/Q9Y448/Q8TD19/Q9Y5X1/Q9NTJ3/Q99986/Q9P287/P16949/Q14166/Q9P0K8/O95373/P27816/Q8WUM4/O43175/Q13123/P46379/Q14671/O00410/P62258/Q9Y5A9/P60953/O75663/Q15003/P46013/O14908/P49959/O96019/O75844/O76071/P61289/P25205/P50570/Q00839/Q00610/P25490/Q16513/Q15149/Q8TAQ2/Q08209/O14744/Q9BTK6/Q8IZ21/Q9UNZ2/P49711/Q86XL3/Q13561/P43246/P07437/Q14204/Q6ZWJ1/P18583/P35580/Q92922/P68036/Q9UHD1,112
BP,GO:0009135,purine nucleoside diphosphate metabolic process,9/742,25/1817,0.36,0.881563342,-0.495270872,0.755698673,0.953820635,0.85380964,P06733/P00558/P09936/P14618/P04406/P60174/Q00013/P36871/P09972,9
BP,GO:0009179,purine ribonucleoside diphosphate metabolic process,9/742,25/1817,0.36,0.881563342,-0.495270872,0.755698673,0.953820635,0.85380964,P06733/P00558/P09936/P14618/P04406/P60174/Q00013/P36871/P09972,9
BP,GO:0051304,chromosome separation,9/742,25/1817,0.36,0.881563342,-0.495270872,0.755698673,0.953820635,0.85380964,P12270/Q96EA4/Q9Y6G9/Q9H900/Q9BPX3/O43670/Q9NTJ3/Q13123/Q15003,9
BP,GO:0009150,purine ribonucleotide metabolic process,29/742,77/1817,0.376623377,0.922270452,-0.578911962,0.756071684,0.953820635,0.85380964,P28331/P06733/P55072/P00558/P09936/P11142/P62826/P30566/Q7Z2Z2/O43306/P22234/P14618/P31939/P25705/P04406/P60174/O75251/Q9UJZ1/Q00013/P06576/P18859/P30520/P12268/P09874/O43181/P36871/P11586/P09972/P49915,29
BP,GO:0009165,nucleotide biosynthetic process,22/742,59/1817,0.372881356,0.91310704,-0.563581598,0.756119631,0.953820635,0.85380964,P28331/P06733/P55072/P17812/P60891/P04818/P30566/P27708/O43306/P22234/P31939/P25705/O75251/Q9UJZ1/P06576/P18859/P30520/P12268/P09874/O43181/P11586/P49915,22
BP,GO:0072655,establishment of protein localization to mitochondrion,12/742,33/1817,0.363636364,0.890468023,-0.527419419,0.758007773,0.95394672,0.853922504,P07900/P30419/P10809/P34932/Q9Y371/P55957/Q7Z6Z7/Q10713/Q9Y5L4/O95831/Q9UBE0/P68036,12
BP,GO:0065003,protein-containing complex assembly,132/742,336/1817,0.392857143,0.962023489,-0.640416951,0.758284753,0.95394672,0.853922504,P35080/P28331/Q15185/P55072/Q13813/P07900/Q01082/Q7L2H7/Q04637/P10809/P62805/O00571/P34932/P63244/P11142/Q9Y230/P62318/P27797/Q9Y371/Q14677/P60228/Q16658/Q15717/P14406/P13010/O94906/Q8TCS8/P35637/Q13546/Q9BQA1/Q14203/Q15393/Q9Y490/P55957/Q14152/Q9H3Q1/Q9BQ67/Q15637/Q7Z434/P58546/O14929/P55209/Q9H4M9/Q13153/Q02790/Q96QK1/P17987/P78527/P78371/Q92879/Q13371/O15212/Q99996/P50552/Q7Z3K3/P06748/P31153/Q15427/P52948/P11021/Q16763/O43809/P61086/P30101/O75251/P26368/O43670/P49321/Q9Y5X1/P50542/Q9Y3F4/Q9UKD2/P07196/Q9UBW8/P16383/P16949/Q9UJZ1/Q13347/Q96CX2/P27816/Q8WUM4/O15027/Q15459/P07737/Q9NWZ8/Q96AC1/Q9UEY8/Q9ULR0/Q12874/Q13492/P60953/O95319/Q07955/Q8N1F7/O75821/P07305/O43290/Q8IWC1/P11047/P46087/P02786/P09661/P50570/O43181/Q00610/Q16595/Q99714/P04440/Q14247/O94925/Q15528/O75643/P46821/Q13242/O15381/P46777/O14744/Q99733/P49790/Q8WVY7/Q9UJU6/O95831/Q9UNN5/O95400/P62314/Q12846/P52655/Q92499/P23381/O15371/Q9NR31/Q13045,132
BP,GO:0006914,autophagy,36/742,95/1817,0.378947368,0.927961413,-0.599054118,0.759025244,0.95394672,0.853922504,P55072/P07900/Q04637/P09936/P07339/O94874/P11142/P49459/Q9Y371/P10253/Q9Y263/Q86Y82/Q96QK1/Q8WVM8/Q7Z6Z7/P04406/Q9BRG1/P50542/Q8WUM4/O15027/O95219/Q9NT62/P51149/O75844/P50570/O95817/Q9BPW8/Q00610/Q14247/P68402/P04632/Q14694/Q9UNZ2/Q9Y5X3/P42704/P61019,36
BP,GO:0061919,process utilizing autophagic mechanism,36/742,95/1817,0.378947368,0.927961413,-0.599054118,0.759025244,0.95394672,0.853922504,P55072/P07900/Q04637/P09936/P07339/O94874/P11142/P49459/Q9Y371/P10253/Q9Y263/Q86Y82/Q96QK1/Q8WVM8/Q7Z6Z7/P04406/Q9BRG1/P50542/Q8WUM4/O15027/O95219/Q9NT62/P51149/O75844/P50570/O95817/Q9BPW8/Q00610/Q14247/P68402/P04632/Q14694/Q9UNZ2/Q9Y5X3/P42704/P61019,36
BP,GO:0042180,cellular ketone metabolic process,6/742,17/1817,0.352941176,0.864277787,-0.46697624,0.759688479,0.95394672,0.853922504,P30419/P07954/Q04760/P22307/P60174/Q99714,6
BP,GO:0042542,response to hydrogen peroxide,6/742,17/1817,0.352941176,0.864277787,-0.46697624,0.759688479,0.95394672,0.853922504,P11142/Q13546/P04040/P12004/Q16595/O95831,6
BP,GO:0170038,proteinogenic amino acid biosynthetic process,6/742,17/1817,0.352941176,0.864277787,-0.46697624,0.759688479,0.95394672,0.853922504,O00469/P00505/O43175/P04181/O94925/P11586,6
MF,GO:0032555,purine ribonucleotide binding,125/762,303/1862,0.412541254,1.008073248,0.127791184,0.473462893,0.95508894,0.902243263,P55072/P07900/P25098/O43716/P17812/Q9NVP1/P00558/P60891/Q04637/P10809/O00571/P60842/P34932/P48506/Q9Y3I0/P11142/Q9Y230/P05023/P62826/P17844/P49459/P27708/P62191/P68133/P63279/P13010/P33993/P50990/Q99832/Q9UBT2/P61604/Q7Z2Z2/P33176/Q13546/P49368/O43306/P43686/P14625/P22314/Q14240/P38646/O60841/Q15029/O43776/P22234/P13639/P33991/O60884/Q9H4M9/Q13153/P14618/Q02790/P17987/P78527/P78371/O75695/Q9Y6G9/P25705/P35579/P31153/P11021/P51003/Q16763/P42285/Q12931/P61086/P17980/Q9UQE7/P08133/P61158/Q15907/Q8TD19/Q9NTJ3/Q9BVP2/Q99986/P63261/Q14166/Q9UHY1/P06576/P30520/Q9Y4L1/P60953/P48643/P60604/P51149/P46013/Q96I99/Q9C0C9/P12956/Q9UMR2/P25205/P50570/Q00839/Q9H2U1/Q9HCN4/P26639/P07814/Q6P3W7/Q16513/P06737/P62195/P56192/Q9NR30/A0AVT1/O75643/O15381/Q8NBU5/P51812/P11586/Q92499/P23381/P54577/Q9P2R7/P43246/P07437/Q14204/P38919/P49915/P35580/P61019/P53396/P68036/Q9UHD1/Q9NR31/Q13177,125
CC,GO:0005815,microtubule organizing center,56/762,143/1854,0.391608392,0.952810969,-0.490555279,0.717686771,0.95518921,0.821880722,O00571/Q9Y230/P62826/Q96EA4/P63167/P50990/P33176/Q14203/Q92785/P37198/P08670/Q13153/P17987/P29966/O75695/Q9Y6G9/P55081/Q99996/P43487/Q9NR09/Q14BN4/P06748/P12004/O43809/P63208/Q8TD16/Q9Y448/Q8TD19/Q9P287/Q9Y696/Q14166/P27816/Q8WUM4/Q00013/Q9Y5A9/P60953/P48643/Q92597/Q8N1F7/P60510/P50402/P25205/P62081/P50570/Q00839/Q7Z6E9/O60271/Q16513/Q5M775/Q9UNZ2/P11413/Q8IUD2/Q13561/Q14204/Q9BVT8/Q13045,56
CC,GO:0000775,"chromosome, centromeric region",26/762,68/1854,0.382352941,0.930291802,-0.48910428,0.729066886,0.95518921,0.821880722,P12270/P62805/Q96EA4/P63167/Q14203/P26358/Q9Y6G9/Q7Z5K2/P52948/Q9H900/Q9BPX3/Q9UQE7/O43670/Q9Y448/Q9NTJ3/P46060/Q8N954/Q8NEJ9/O96019/Q00839/Q8TAQ2/P49711/Q9UEE9/Q13561/Q06787/Q92922,26
CC,GO:0000176,nuclear exosome (RNase complex),4/762,11/1854,0.363636364,0.884753042,-0.320159963,0.729807487,0.95518921,0.821880722,P42285/Q9NQT4/Q5RKV6/O15381,4
CC,GO:0000177,cytoplasmic exosome (RNase complex),4/762,11/1854,0.363636364,0.884753042,-0.320159963,0.729807487,0.95518921,0.821880722,Q8TCS8/Q9Y2V2/Q9NQT4/Q5RKV6,4
CC,GO:0030894,replisome,4/762,11/1854,0.363636364,0.884753042,-0.320159963,0.729807487,0.95518921,0.821880722,Q99459/P27694/P12004/P25205,4
CC,GO:0036126,sperm flagellum,4/762,11/1854,0.363636364,0.884753042,-0.320159963,0.729807487,0.95518921,0.821880722,P07900/P10809/P05023/P62826,4
CC,GO:0097729,9+2 motile cilium,4/762,11/1854,0.363636364,0.884753042,-0.320159963,0.729807487,0.95518921,0.821880722,P07900/P10809/P05023/P62826,4
MF,GO:0016874,ligase activity,24/762,57/1862,0.421052632,1.028871391,0.18421325,0.477985977,0.955584201,0.902711121,O43716/P17812/P48506/Q9Y3I0/P27708/Q9UBT2/P22314/O43776/P22234/P25705/P06576/P18859/P30520/Q96I99/P26639/P07814/P56192/A0AVT1/P11586/P23381/Q9UBE0/P54577/Q9P2R7/P49915,24
MF,GO:0043130,ubiquitin binding,10/762,23/1862,0.434782609,1.062421545,0.250646646,0.480048902,0.955584201,0.902711121,P09936/P49459/P37198/Q9Y263/O75674/O95071/P15374/P54727/Q9UNZ2/Q9UNN5,10
MF,GO:0032553,ribonucleotide binding,126/762,306/1862,0.411764706,1.006175699,0.098332332,0.485105187,0.955584201,0.902711121,P55072/P07900/P25098/O43716/P17812/Q9NVP1/P00558/P60891/Q04637/P10809/O00571/P60842/P34932/P48506/Q9Y3I0/P11142/Q9Y230/P05023/P62826/P17844/P49459/P27708/P62191/P68133/P63279/P13010/P33993/P50990/Q99832/Q9UBT2/P61604/Q7Z2Z2/P33176/Q13546/P49368/O43306/P43686/P14625/P22314/Q14240/P38646/O60841/Q15029/O43776/P22234/P13639/P33991/O60884/Q9H4M9/Q13153/P14618/Q02790/P17987/P78527/P78371/O75695/Q9Y6G9/P25705/P35579/P31153/P11021/P51003/Q16763/P42285/Q12931/P61086/P17980/Q9UQE7/P08133/P61158/Q15907/Q8TD19/Q9NTJ3/Q9BVP2/Q99986/P63261/Q14166/Q9UHY1/P06576/P30520/Q9Y4L1/P60953/P48643/P60604/P51149/P46013/Q96I99/Q9C0C9/P12956/Q9UMR2/P25205/P50570/Q00839/Q9H2U1/P16435/Q9HCN4/P26639/P07814/Q6P3W7/Q16513/P06737/P62195/P56192/Q9NR30/A0AVT1/O75643/O15381/Q8NBU5/P51812/P11586/Q92499/P23381/P54577/Q9P2R7/P43246/P07437/Q14204/P38919/P49915/P35580/P61019/P53396/P68036/Q9UHD1/Q9NR31/Q13177,126
MF,GO:0016798,"hydrolase activity, acting on glycosyl bonds",5/762,11/1862,0.454545455,1.110713434,0.306441643,0.492765642,0.955584201,0.902711121,P10253/O60502/P12004/Q14697/P06280,5
MF,GO:0035064,methylated histone binding,5/762,11/1862,0.454545455,1.110713434,0.306441643,0.492765642,0.955584201,0.902711121,Q7Z4V5/Q92785/Q14166/Q99549/Q06787,5
MF,GO:0140034,methylation-dependent protein binding,5/762,11/1862,0.454545455,1.110713434,0.306441643,0.492765642,0.955584201,0.902711121,Q7Z4V5/Q92785/Q14166/Q99549/Q06787,5
MF,GO:0140597,protein carrier chaperone,5/762,11/1862,0.454545455,1.110713434,0.306441643,0.492765642,0.955584201,0.902711121,P11142/P55209/Q9BTT0/P50542/O95817,5
MF,GO:0019207,kinase regulator activity,16/762,38/1862,0.421052632,1.028871391,0.149624055,0.50286419,0.960398612,0.907259148,O00571/P63244/P09211/O60934/P46940/O75674/P06748/Q8TD19/Q9P287/O94992/P60983/Q92616/Q9UNN5/P05386/P23381/Q13177,16
MF,GO:0004197,cysteine-type endopeptidase activity,7/762,16/1862,0.4375,1.06906168,0.230853046,0.503456822,0.960398612,0.907259148,P09936/P07339/P30101/Q93009/Q14790/P04632/Q14694,7
MF,GO:0030544,Hsp70 protein binding,7/762,16/1862,0.4375,1.06906168,0.230853046,0.503456822,0.960398612,0.907259148,P37198/O60884/Q53FT3/O75937/Q99543/P46379/P02786,7
MF,GO:0003678,DNA helicase activity,9/762,21/1862,0.428571429,1.047244094,0.181169302,0.511290485,0.961252874,0.908066143,O00571/Q9Y230/P13010/P33993/P33991/P49959/P12956/P25205/Q9H2U1,9
MF,GO:0019783,ubiquitin-like protein peptidase activity,9/762,21/1862,0.428571429,1.047244094,0.181169302,0.511290485,0.961252874,0.908066143,P09936/Q6ICB0/Q9Y5K5/Q92905/Q93009/P15374/Q96G74/Q14694/Q01804,9
